[Username, AccountType, Balance]
Account [username=a, accountType=0, balance=40.0]
Account [username=a, accountType=1, balance=0.0]
Account [username=b, accountType=0, balance=0.0]
Account [username=b, accountType=1, balance=0.0]
Account [username=c, accountType=0, balance=0.0]
Account [username=c, accountType=1, balance=0.0]
Account [username=d, accountType=0, balance=0.0]
Account [username=d, accountType=1, balance=0.0]
Account [username=e, accountType=0, balance=0.0]
Account [username=e, accountType=1, balance=0.0]
Account [username=f, accountType=0, balance=0.0]
Account [username=f, accountType=1, balance=0.0]
Account [username=g, accountType=0, balance=0.0]
Account [username=g, accountType=1, balance=0.0]
Account [username=h, accountType=0, balance=0.0]
Account [username=h, accountType=1, balance=0.0]
Account [username=i, accountType=0, balance=0.0]
Account [username=i, accountType=1, balance=0.0]
Account [username=j, accountType=0, balance=0.0]
Account [username=j, accountType=1, balance=0.0]
